Dataset Atlas Type Value
SWU4 AAL Hom 0.4616649122807018
SWU4 AAL Hom 0.5396772807017544
SWU4 AAL Hom 0.39922317543859653
SWU4 AAL Hom 0.4917505263157895
SWU4 AAL Hom 0.3903060526315789
SWU4 AAL Hom 0.4400321403508772
SWU4 AAL Hom 0.420874649122807
SWU4 AAL Hom 0.379865649122807
SWU4 AAL Hom 0.40177140350877194
SWU4 AAL Hom 0.5120859649122808
SWU4 AAL Hom 0.5790737368421053
SWU4 AAL Hom 0.360754350877193
SWU4 AAL Hom 0.4962461228070175
SWU4 AAL Hom 0.40705740350877195
SWU4 AAL Hom 0.39429489473684204
SWU4 AAL Hom 0.43539422807017547
SWU4 AAL Hom 0.3821298421052631
SWU4 AAL Hom 0.479212649122807
SWU4 AAL Hom 0.36495040350877195
SWU4 AAL Hom 0.40166245614035084
SWU4 AAL Hom 0.4389520175438596
SWU4 AAL Hom 0.511033298245614
SWU4 AAL Hom 0.4537460175438597
SWU4 AAL Hom 0.36380299999999993
SWU4 AAL Hom 0.40775147368421055
SWU4 AAL Hom 0.4252133859649123
SWU4 AAL Hom 0.4333620350877193
SWU4 AAL Hom 0.5445254385964912
SWU4 AAL Hom 0.48430091228070177
SWU4 AAL Hom 0.39254063157894736
SWU4 AAL Hom 0.3824790877192983
SWU4 AAL Hom 0.49281828070175443
SWU4 AAL Hom 0.41349142105263165
SWU4 AAL Hom 0.42406603508771934
SWU4 AAL Hom 0.45783207017543864
SWU4 AAL Hom 0.437914245614035
SWU4 AAL Hom 0.4419652807017544
SWU4 AAL Hom 0.4135707192982457
SWU4 AAL Hom 0.5131423859649122
SWU4 AAL Hom 0.3931333508771929
SWU4 AAL Hom 0.4037495789473684
SWU4 AAL Hom 0.513229807017544
SWU4 AAL Hom 0.49457550877192974
SWU4 AAL Hom 0.5395031578947368
SWU4 AAL Hom 0.3260211052631579
SWU4 AAL Hom 0.4469247368421053
SWU4 AAL Hom 0.5079811754385964
SWU4 AAL Hom 0.4454739298245614
SWU4 AAL Hom 0.3920331403508773
SWU4 AAL Hom 0.4580409122807017
SWU4 AAL Hom 0.4569131578947368
SWU4 AAL Hom 0.44205192982456143
SWU4 AAL Hom 0.3939816140350877
SWU4 AAL Hom 0.4398650175438596
SWU4 AAL Hom 0.4996149649122807
SWU4 AAL Hom 0.43557838596491233
SWU4 AAL Hom 0.3725672631578948
SWU4 AAL Hom 0.3920099824561403
SWU4 AAL Hom 0.4503871403508772
SWU4 AAL Hom 0.6058479824561404
SWU4 AAL Hom 0.4189018596491228
SWU4 AAL Hom 0.41594928070175446
SWU4 AAL Hom 0.4386908947368421
SWU4 AAL Hom 0.42528678947368415
SWU4 AAL Hom 0.40882526315789475
SWU4 AAL Hom 0.3855001052631579
SWU4 AAL Hom 0.3469006140350877
SWU4 AAL Hom 0.41176457894736845
SWU4 AAL Hom 0.4340590877192982
SWU4 AAL Hom 0.5104678947368421
SWU4 AAL Hom 0.41738722807017536
SWU4 AAL Hom 0.5732496140350877
SWU4 AAL Hom 0.3671153157894737
SWU4 AAL Hom 0.505451649122807
SWU4 AAL Hom 0.46800356140350874
SWU4 AAL Hom 0.5142764385964912
SWU4 AAL Hom 0.40163971929824566
SWU4 AAL Hom 0.42572338596491227
SWU4 AAL Hom 0.3977704736842105
SWU4 AAL Hom 0.6584659122807018
SWU4 AAL Hom 0.38088454385964915
SWU4 AAL Hom 0.44970908771929824
SWU4 AAL Hom 0.3809998947368421
